product_id,product_name,short_description
0,95781,Garlic Oil - Vegetarian Capsule 500 mg,['hairoil&serum']
1,95782,Water Bottle - Orange,['water&fridgebottles']
2,95783,"Brass Angle Deep - Plain, No.2",['lamp&lampoil']
3,95784,Cereal Flip Lid Container/Storage Jar - Assorted Colour,"['laundry,storagebaskets']"
4,95785,Creme Soft Soap - For Hands & Body,['bathingbars&soaps']
5,95786,Germ - Removal Multipurpose Wipes,['disinfectantspray&cleaners']
6,95787,Multani Mati,['facecare']
7,95788,Hand Sanitizer - 70% Alcohol Base,['handwash&sanitizers']
8,95789,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,['shampoo&conditioner']
9,95790,"Scrub Pad - Anti- Bacterial, Regular","['utensilscrub-pad,glove']"
10,95791,Wheat Grass Powder - Raw,['flours&pre-mixes']
11,95792,Butter Cookies Gold Collection,"['luxurychocolates,gifts']"
12,95793,"Face Wash - Oil Control, Active",['facecare']
13,95794,Mold & Mildew Remover with Bleach,['floor&othercleaners']
14,95795,Just Spray - Mosquito Repellent Room Spray,['mosquitorepellent']
15,95796,Dove Plastic Soap Case - Assorted Colour,['soapcases&dispensers']
16,95797,Smooth Skin Oil - For Dry Skin,['aromatherapy']
17,95798,Salted Pumpkin,['roastedseeds&nuts']
18,95799,Flax Seeds - Roasted,['roastedseeds&nuts']
19,95800,Organic Tofu - Soy Paneer,['tofu']
20,95801,Ceramic Barrel Brush - Colour May Vary,['tools&accessories']
21,95802,Instant Noodles - Chicken Satay Flavor,['importednoodles']
22,95803,Chia Seeds,['otherdryfruits']
23,95804,Cleanse Green Tea - Whole Leaf Loose Tea,['gourmettea&teabags']
24,95805,Veggie Cutter,['choppers&graters']
25,95806,Insulated Hot Fresh Casserole For Roti/Chapati - White,['casserole']
26,95807,Granola - Happy Berries,['granola&cerealbars']
27,95808,Flaxseed - Pesticide Free,['otherdryfruits']
28,95809,Paratha Puff,['frozenvegsnacks']
29,95810,Lip Butter - Rose,['lipcare']
