product_id,short_description
0,95781,['hairoil&serum']
1,95782,['water&fridgebottles']
2,95783,['lamp&lampoil']
3,95784,"['laundry,storagebaskets']"
4,95785,['bathingbars&soaps']
5,95786,['disinfectantspray&cleaners']
6,95787,['facecare']
7,95788,['handwash&sanitizers']
8,95789,['shampoo&conditioner']
9,95790,"['utensilscrub-pad,glove']"
10,95791,['flours&pre-mixes']
11,95792,"['luxurychocolates,gifts']"
12,95793,['facecare']
13,95794,['floor&othercleaners']
14,95795,['mosquitorepellent']
15,95796,['soapcases&dispensers']
16,95797,['aromatherapy']
17,95798,['roastedseeds&nuts']
18,95799,['roastedseeds&nuts']
19,95800,['tofu']
20,95801,['tools&accessories']
21,95802,['importednoodles']
22,95803,['otherdryfruits']
23,95804,['gourmettea&teabags']
24,95805,['choppers&graters']
25,95806,['casserole']
26,95807,['granola&cerealbars']
27,95808,['otherdryfruits']
28,95809,['frozenvegsnacks']
29,95810,['lipcare']
30,95811,['juices']
31,95812,"['bakerybiscuits,cookies']"
32,95813,"[""men'sdeodorants""]"
33,95814,['greentea']
34,95815,['containerssets']
35,95816,['wholespices']
36,95817,['blendedmasalas']
37,95818,"[""men'sdeodorants""]"
38,95819,"[""men'sdeodorants""]"
39,95820,['chocolates']
40,95821,['eaudetoilette']
41,95822,['bathingbars&soaps']
42,95823,"['cookies,biscotti,wafer']"
43,95824,['steellunchboxes']
44,95825,"['olive,jalapeno,gherkin']"
45,95826,"['organicrice,otherrice']"
46,95827,['shavingcare']
47,95828,['importedcleaners']
48,95829,['thai&asiansauces']
49,95830,['chutneypowder']
50,95831,['cookingpastes']
51,95832,['gourmetjuices&drinks']
52,95833,['face&body']
53,95834,['chocolates']
54,95835,['beans&pulses']
55,95836,['facecare']
56,95837,"['papads,readytofry']"
57,95838,['hair&scalptreatment']
58,95839,['babyhealth']
59,95840,"['notebooks,files,folders']"
60,95841,['kitchentools&otheraccessories']
61,95842,['petmeals&treats']
62,95843,"['chocolate,peanutspread']"
63,95844,"['marie,health,digestive']"
64,95845,['shampoo&conditioner']
65,95846,['facecare']
66,95847,['petmeals&treats']
67,95848,['electrictoothbrush']
68,95849,['wholespices']
69,95850,['petcollars&leashes']
70,95851,['toothpaste']
71,95852,['facecare']
72,95853,['aromatherapy']
73,95854,['roastedseeds&nuts']
74,95855,['water&fridgebottles']
75,95856,['facecare']
76,95857,['kitchentools&otheraccessories']
77,95858,['bathingbars&soaps']
78,95859,['dryfruits&berries']
79,95860,['toothbrush']
80,95861,['chips&cornsnacks']
81,95862,['importedsoups']
82,95863,['organicdals&pulses']
83,95864,['gourmeticecream']
84,95865,['dishwashbars&powders']
85,95866,['glassware']
86,95867,['internationalcheese']
87,95868,"['agarbatti,incensesticks']"
88,95869,['bathingbars&soaps']
89,95870,['cut&peeledveggies']
90,95871,['ayurveda']
91,95872,['tawa&saucepan']
92,95873,"['flavoured,soyamilk']"
93,95874,['namkeen&savourysnacks']
94,95875,['steelstoragecontainers']
95,95876,"[""men'sdeodorants""]"
96,95877,['hairremoval']
97,95878,['handwash&sanitizers']
98,95879,['aromatherapy']
99,95880,['diapers']
100,95881,['otheredibleoils']
101,95882,['quinoa&grains']
102,95883,['shampoo&conditioner']
103,95884,['showergel&bodywash']
104,95885,"['marie,health,digestive']"
105,95886,['umbrella']
106,95887,['juices']
107,95888,['shampoo&conditioner']
108,95889,['kadai&frypans']
109,95890,['babyfood']
110,95891,"['agarbatti,incensesticks']"
111,95892,['bodycare']
112,95893,['organicmasalas&spices']
113,95894,['gourmetpopcorn']
114,95895,['aromatherapy']
115,95896,['organicfruits']
116,95897,['leaf&dusttea']
117,95898,['bowls&vessels']
118,95899,['petmeals&treats']
119,95900,['rusks']
120,95901,['kadai&frypans']
121,95902,['airfreshener']
122,95903,['cabbage&cauliflower']
123,95904,['lunchboxes']
124,95905,"['sunflower,ricebranoil']"
125,95906,['containerssets']
126,95907,['chips&cornsnacks']
127,95908,['lipcare']
128,95909,['supplements&proteins']
129,95910,['glassware']
130,95911,['creambiscuits&wafers']
131,95912,"['banana,sapota&papaya']"
132,95913,"['lemon,ginger&garlic']"
133,95914,['chocolates']
134,95915,"['olive,jalapeno,gherkin']"
135,95916,['glassware']
136,95917,"['baking,cakedecorations']"
137,95918,['internationalchocolates']
138,95919,['breakfast&snackmixes']
139,95920,['water&fridgebottles']
140,95921,['plates&tumblers']
141,95922,"['organicedibleoil,ghee']"
142,95923,['otherdryfruits']
143,95924,['lime&mangopickle']
144,95925,['powderedspices']
145,95926,"['milk,white&sandwich']"
146,95927,"['currypaste,coconutmilk']"
147,95928,['flakes']
148,95929,['flavoured&otheroils']
149,95930,['glassware']
150,95931,['glassware']
151,95932,['toothbrush']
152,95933,['glassware']
153,95934,"['healthy,bakedsnacks']"
154,95935,['hairremoval']
155,95936,"['baking,cakedecorations']"
156,95937,"['pure,pomaceoliveoil']"
157,95938,['water&fridgebottles']
158,95939,['facecare']
159,95940,['airfreshener']
160,95941,['glassware']
161,95942,['haircolor']
162,95943,['bathingbars&soaps']
163,95944,['gourmettea&teabags']
164,95945,['bibs&napkins']
165,95946,['exampads&pencilbox']
166,95947,"['healthy,bakedsnacks']"
167,95948,['breakfast&snackmixes']
168,95949,['lunchboxes']
169,95950,['sports&energydrinks']
170,95951,['facecare']
171,95952,['hairoil&serum']
172,95953,['diapers']
173,95954,['facecare']
174,95955,['aromatherapy']
175,95956,['bathingbars&soaps']
176,95957,['bathingbars&soaps']
177,95958,['everydaymedicine']
178,95959,['cfl&ledbulbs']
179,95960,['indian&exoticherbs']
180,95961,['sugar&jaggery']
181,95962,['blendedmasalas']
182,95963,"['kitchen,glass&drain']"
183,95964,['facecare']
184,95965,['breakfast&snackmixes']
185,95966,['lipcare']
186,95967,['heat&eatreadymeals']
187,95968,['ayurveda']
188,95969,['pressurecookers']
189,95970,['petmeals&treats']
190,95971,['aromatherapy']
191,95972,['bodycare']
192,95973,['gourmetbread']
193,95974,"['healthy,bakedsnacks']"
194,95975,"['mops,wipers']"
195,95976,['organicvegetables']
196,95977,"['notebooks,files,folders']"
197,95978,['importednoodles']
198,95979,['flours&pre-mixes']
199,95980,['chikki&gajjak']
200,95981,['attar']
201,95982,['bodysprays&mists']
202,95983,['organicmasalas&spices']
203,95984,['aromatherapy']
204,95985,['homebaking']
205,95986,['toothpaste']
206,95987,['facecare']
207,95988,"['strainer,ladle,spatula']"
208,95989,['rusks']
209,95990,['ayurveda']
210,95991,['handwash&sanitizers']
211,95992,['haircolor']
212,95993,['balsamic&cidervinegar']
213,95994,['organicvegetables']
214,95995,"['flavoured,soyamilk']"
215,95996,"['marie,health,digestive']"
216,95997,['blendedmasalas']
217,95998,['chocolates']
218,95999,['babywipes']
219,96000,['exoticfruits']
220,96001,['dustbins']
221,96002,"['cutfruit,tendercoconut']"
222,96003,['powderedspices']
223,96004,['facecare']
224,96005,['organicvegetables']
225,96006,['bathingbars&soaps']
226,96007,['pressurecookers']
227,96008,['steelstoragecontainers']
228,96009,['supplements&proteins']
229,96010,['talcumpowder']
230,96011,['chocolates']
231,96012,['cut&peeledveggies']
232,96013,"['herbs,seasonings&rubs']"
233,96014,['lunchboxes']
234,96015,['namkeen&savourysnacks']
235,96016,['roastedseeds&nuts']
236,96017,['cfl&ledbulbs']
237,96018,"['paneer,tofu&cream']"
238,96019,['bodycare']
239,96020,['frozenfish&seafood']
240,96021,['nachos&chips']
241,96022,['exoticsugar&salt']
242,96023,['saltedbiscuits']
243,96024,['ayurveda']
244,96025,['lipcare']
245,96026,['handwash&sanitizers']
246,96027,['tawa&saucepan']
247,96028,['breakfast&snackmixes']
248,96029,['attar']
249,96030,['facecare']
250,96031,['vacuumflask']
251,96032,['facecare']
252,96033,['cotton&earbuds']
253,96034,"['marshmallow,candy,jelly']"
254,96035,['ayurveda']
255,96036,['kitchentools&otheraccessories']
256,96037,['organicmasalas&spices']
257,96038,['bathingbars&soaps']
258,96039,['chickensausages']
259,96040,['bodycare']
260,96041,['cotton&earbuds']
261,96042,['healthdrinks']
262,96043,['frozenvegetables']
263,96044,['blendedmasalas']
264,96045,['wholespices']
265,96046,['bathingbars&soaps']
266,96047,['water&fridgebottles']
267,96048,['eaudeparfum']
268,96049,['breakfast&snackmixes']
269,96050,"['currypaste,coconutmilk']"
270,96051,['glassware']
271,96052,['importedcleaners']
272,96053,['eaudetoilette']
273,96054,['ayurveda']
274,96055,"['papernapkin,tissuebox']"
275,96056,"['cutfruit,tendercoconut']"
276,96057,['exoticsugar&salt']
277,96058,"['toor,channa&moongdal']"
278,96059,['sippers&bottles']
279,96060,"[""men'sdeodorants""]"
280,96061,['facecare']
281,96062,['bathingbars&soaps']
282,96063,['instantnoodles']
283,96064,['cereals&millets']
284,96065,['mustard&cheesesauces']
285,96066,['chocolates']
286,96067,['gourmetjuices&drinks']
287,96068,['facecare']
288,96069,['face&body']
289,96070,['pork&ham']
290,96071,['mosquitorepellent']
291,96072,['steelstoragecontainers']
292,96073,['gourmetjuices&drinks']
293,96074,['facecare']
